Date,No restriction,60 days or cert,28 days
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,1,1
2020-03-07,1,1,1
2020-03-08,0,0,0
2020-03-09,1,1,1
2020-03-10,4,4,4
2020-03-11,0,0,0
2020-03-12,2,2,2
2020-03-13,1,1,1
2020-03-14,18,18,18
2020-03-15,14,14,14
2020-03-16,22,22,22
2020-03-17,15,15,15
2020-03-18,33,33,33
2020-03-19,42,42,42
2020-03-20,32,32,32
2020-03-21,54,54,54
2020-03-22,24,24,24
2020-03-23,67,67,67
2020-03-24,143,143,143
2020-03-25,178,178,178
2020-03-26,169,169,169
2020-03-27,271,271,271
2020-03-28,279,279,279
2020-03-29,195,195,195
2020-03-30,353,353,353
2020-03-31,368,368,368
2020-04-01,613,613,613
2020-04-02,603,603,603
2020-04-03,654,654,654
2020-04-04,689,689,689
2020-04-05,578,578,578
2020-04-06,531,531,531
2020-04-07,1009,1009,1009
2020-04-08,922,922,922
2020-04-09,991,991,990
2020-04-10,1037,1037,1035
2020-04-11,746,746,745
2020-04-12,605,605,604
2020-04-13,694,694,694
2020-04-14,1008,1008,1007
2020-04-15,731,731,730
2020-04-16,907,907,906
2020-04-17,827,827,826
2020-04-18,1006,1006,1004
2020-04-19,382,382,380
2020-04-20,539,539,536
2020-04-21,1120,1120,1116
2020-04-22,739,739,725
2020-04-23,601,601,594
2020-04-24,823,823,821
2020-04-25,738,738,729
2020-04-26,343,343,327
2020-04-27,306,306,289
2020-04-28,871,870,862
2020-04-29,630,630,604
2020-04-30,560,560,543
2020-05-01,654,654,623
2020-05-02,519,519,485
2020-05-03,245,245,222
2020-05-04,257,257,247
2020-05-05,656,656,639
2020-05-06,566,566,529
2020-05-07,424,424,377
2020-05-08,535,535,498
2020-05-09,277,277,226
2020-05-10,217,217,190
2020-05-11,190,190,174
2020-05-12,606,606,539
2020-05-13,412,412,362
2020-05-14,351,351,303
2020-05-15,335,335,280
2020-05-16,399,399,348
2020-05-17,113,113,43
2020-05-18,144,143,134
2020-05-19,521,521,447
2020-05-20,319,319,259
2020-05-21,274,272,220
2020-05-22,307,306,257
2020-05-23,250,249,197
2020-05-24,417,415,362
2020-05-25,105,105,86
2020-05-26,117,116,105
2020-05-27,412,411,396
2020-05-28,387,384,315
2020-05-29,349,345,246
2020-05-30,198,194,117
2020-05-31,81,80,39
2020-06-01,96,95,79
2020-06-02,317,311,228
2020-06-03,334,320,218
2020-06-04,150,141,112
2020-06-05,343,329,239
2020-06-06,182,171,126
2020-06-07,65,60,49
2020-06-08,52,49,44
2020-06-09,280,269,179
2020-06-10,234,220,143
2020-06-11,134,123,64
2020-06-12,188,173,117
2020-06-13,173,154,94
2020-06-14,26,23,23
2020-06-15,33,31,25
2020-06-16,227,185,106
2020-06-17,168,148,90
2020-06-18,122,110,60
2020-06-19,167,134,73
2020-06-20,122,110,67
2020-06-21,39,36,30
2020-06-22,14,14,13
2020-06-23,166,147,84
2020-06-24,141,136,74
2020-06-25,138,110,91
2020-06-26,182,139,76
2020-06-27,94,66,34
2020-06-28,33,32,28
2020-06-29,21,19,17
2020-06-30,151,109,47
2020-07-01,167,122,90
2020-07-02,80,67,31
2020-07-03,133,88,45
2020-07-04,59,50,27
2020-07-05,21,18,18
2020-07-06,16,15,11
2020-07-07,152,100,50
2020-07-08,121,102,52
2020-07-09,82,48,29
2020-07-10,95,70,34
2020-07-11,100,74,16
2020-07-12,21,18,9
2020-07-13,11,10,8
2020-07-14,134,87,42
2020-07-15,82,60,24
2020-07-16,66,42,23
2020-07-17,112,65,25
2020-07-18,40,19,9
2020-07-19,27,13,10
2020-07-20,11,10,10
2020-07-21,110,57,25
2020-07-22,78,45,16
2020-07-23,53,31,9
2020-07-24,123,70,32
2020-07-25,61,32,15
2020-07-26,13,10,7
2020-07-27,7,3,3
2020-07-28,119,49,21
2020-07-29,78,46,29
2020-07-30,38,15,0
2020-07-31,114,38,14
2020-08-01,72,24,11
2020-08-02,5,4,2
2020-08-03,9,5,1
2020-08-04,88,40,17
2020-08-05,63,39,12
2020-08-06,46,16,15
2020-08-07,91,35,5
2020-08-08,54,17,2
2020-08-09,8,6,5
2020-08-10,21,18,17
2020-08-11,100,28,11
2020-08-12,72,29,15
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
